"student_id","encoded_quote"
"1007266450","Y qc oekh vqjxuh"
"1006965198","D nlk em tcds lhh ely"
"1007264452","J bn zpvs gbuifs"
"1007822260","D'i vphgdjb ceoe"
"1007768015","Eyns Jfwzx Eyns"
"1005241132","Hzb svool gl nb orggov uirvmw"
"1006523497","N vjnsx vjdwdziwd N fe"
"1008508214","Gdps ulaug"
"1012826186","Ad'y bmzqgteiy de qe mpezg"
"1007483858","Flx erpxzer hler mrtarwr vjt"
"1007286483","Tfnj Rpwva Tfnj"
"1002946324","Qrsmdl dq pq qrsmdl lkeq"
"1012098258","Kcge dt sm"
"1012156079","N xtqjrsqd xbjfw N fr zu yt st ltti"
"1007021802","A qzosvyiddo imhi vsgsvszps"
"1011925641","Cqjc'b xwn bvjuu bcny oxa vjw"
"1007623118","R zn blfi uzgsvi"
"1007638335","Tlc pbo rs bd psiil"
"1011886924","X jcstghidds iwpi gtutgtcrt"
"1005930771","W rkwnq rkzgzdcgz W bu"
"1007737898","Nky omeay rqhh vy rqnk lmi dhrdlg"
"1007764028","Hxe qojhxkh et hebw"
"1012563067","Sdu zk sa bwhh Xnqya"
"1012859177","Max vtdx bl t ebx"
"1006925945","Ok ehcej, yemc ys jes"
"1012837405","Cehm ie Kud-Vpj Gejkud"
"1007810317","Qckv ie rce ikjex"
"1006693589","Gpeo cr qj"
"1012027487","Uyiy uyiy uyiy"
"1005902917","Ymu sclhh kmt olss"
"1008763606","Pj c rcmmtg mjgg"
"1008124708","B rll flxf zlyzpl"
"1006861120","Palg ay pakg m rex el wvewepmdgy"
"1007100236","Ofl cb cuknbvc"
"1012838770","Soqmemmb W'in romn po deqtewh"
"1006678301","R zn rmvergzyov"
"1006921244","Pdau iwu pwga kqn herao xqp jaran bnaazki"
"1007977646","Nm'w wzqjh jvvjumnkj"
"1007746753","Ayfrqyh, cj agmj g lvywdju"
"1007936003","G'jj nd neci"
"1006833802","Dovqri myi rtf"
"1008038767","Kxlblmtgvx bl ynmbex"
"1008336034","L ur nbqmbuqyb L ur Gusruq"
"1003814571","X pb ktcvtpcrt X pb Qpibpc"
"1008072185","Fpobi epo hytibe"
"1005342693","Ohzah sh cpzah ihif"
"1012135093","Vjsgp xjs fdipgx"
"1007743658","W lf Yviin"
"1007927790","Gsv xzpv rh z orv"
"1012859168","Lwxwyb bwc"
"1005012102","Kf cue hekpt kl rm qkpp auim"
"1012098267","Sviv'h ollprmt zg blf prw"
"1007967381","Uolzg orpv z yfggviuob hgrmt orpv z yvv"
"1012046803","R hvv wvzw kvlkov"
"1005106332","Lseax om ce"
"1008126421","Qbt ycft dn c gdt"
"1007733909","Al'k vsfywjgmk lg yg sdgfw lscw lzak"
"1007894879","Wp's luhcivems pe ce unehi puqi pzws"
"1005592351","Nbys gus nuey iol fcpym von hypyl zlyyxig"
"1012829290","Gd m smyyqf ydff"
"1004428452","Ux eoi biurz uj vy gurr aoqy"
"1012136680","Dlfow blf prmwob"
"1006174042","Wec lipps xs qc pmxxpi jvmirh"
"1006835613","Tqxb yq Anu-Imz Wqzanu"
"1007958453","Uam kvxmikv pakv ovtwvgv ezt"
"1012085039","Vt cmt Amjjq"
"1007715572","Gfv wdi'q djydgo rcq yadq gfv ydiq"
"1007658241","Oek sqd'j xqdtbu jxu jhkjx"
"1004931032","Gmdq lm Awo-Czj Bmjawo"
"1007112722","F'ii yb yxzh"
"1006927337","Gszmp blf Nzirl yfg lfi kirmxvhh"
"1007731518","Gvdgay wuybgay wpjbay tpth"
"1007070820","Dlfow blf prmwob"
"1006071518","Gks yfatt nkv hayy"
"1006681226","Poqpsf rcfdpsf rwedsf vwvy"
"1003870554","Gsv irtsg nzm rm gsv dilmt kozxv"
"1006212634","Njc yei'q deizls qds qgcqd"
"1006675545","Mlj qo ms atzz Ngdrs"
"1007836665","Ipx rce Akoze ue vdrc xks"
"1007730449","Huiyijqdsu yi vkjybu"
"1007881320","W'a bch por W'a rfokb hvoh kom"
"1008282519","Upp cqsr duae ure depqhw jq sa"
"1007165737","Slfhglm, dv szev z kilyovn"
"1008551577","E'i tco gejb km tco wkqhd"
"1007730948","Uvivkf wbaz Ihif pu h jvyuly"
"1008142644","Yku crd io rt cohhk"
"1007645979","D ncmmsa ymu Odglncu"
"1007849811","N zsijwxytti ymfy wjkjwjshj"
"1007728158","Aono'p gjjfbid kq xjs, fbw"
"1004832201","Ex xjsn yjhhkiw"
"1007738245","N'f kwr bncq jg kwr mjyla"
"1008052250","Ijhifs gvsuifs gbtufs cbcz"
"1008076920","I pliba obp I abke dzibqu"
